Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LFHRP Labour Force Status and Hours Worked Not Stated, OCCP - 4 Digit Level, AGE10P - Age in Ten Year Groups and INCP Total Personal Income (weekly)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"


"LFHRP Labour Force Status and Hours Worked Not Stated","OCCP - 4 Digit Level","AGE10P - Age in Ten Year Groups","INCP Total Personal Income (weekly)",
,,,"$1,250-$1,499 ($65,000-$77,999)",8,
,,,"$1,500-$1,749 ($78,000-$90,999)",17,
,,,"$1,750-$1,999 ($91,000-$103,999)",8,
,,,"$2,000-$2,999 ($104,000-$155,999)",26,
,,,"$3,000 or more ($156,000 or more)",0,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",3,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",6,
,,,"$1,500-$1,749 ($78,000-$90,999)",8,
,,,"$1,750-$1,999 ($91,000-$103,999)",5,
,,,"$2,000-$2,999 ($104,000-$155,999)",18,
,,,"$3,000 or more ($156,000 or more)",0,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",4,
,,,"$1,500-$1,749 ($78,000-$90,999)",15,
,,,"$1,750-$1,999 ($91,000-$103,999)",5,
,,,"$2,000-$2,999 ($104,000-$155,999)",4,
,,,"$3,000 or more ($156,000 or more)",0,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",3,
,,,"$1,000-$1,249 ($52,000-$64,999)",0,
,,,"$1,250-$1,499 ($65,000-$77,999)",6,
,,,"$1,500-$1,749 ($78,000-$90,999)",4,
,,,"$1,750-$1,999 ($91,000-$103,999)",4,
,,,"$2,000-$2,999 ($104,000-$155,999)",0,
,,,"$3,000 or more ($156,000 or more)",0,
,"Midwives","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",27,
,,,"$800-$999 ($41,600-$51,999)",69,
,,,"$1,000-$1,249 ($52,000-$64,999)",183,
,,,"$1,250-$1,499 ($65,000-$77,999)",317,
,,,"$1,500-$1,749 ($78,000-$90,999)",581,
,,,"$1,750-$1,999 ($91,000-$103,999)",391,
,,,"$2,000-$2,999 ($104,000-$155,999)",329,
,,,"$3,000 or more ($156,000 or more)",28,
,,"40-49 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",7,
,,,"$650-$799 ($33,800-$41,599)",14,
,,,"$800-$999 ($41,600-$51,999)",67,
,,,"$1,000-$1,249 ($52,000-$64,999)",166,
,,,"$1,250-$1,499 ($65,000-$77,999)",272,
,,,"$1,500-$1,749 ($78,000-$90,999)",356,
,,,"$1,750-$1,999 ($91,000-$103,999)",287,
,,,"$2,000-$2,999 ($104,000-$155,999)",244,
,,,"$3,000 or more ($156,000 or more)",16,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",11,
,,,"$650-$799 ($33,800-$41,599)",19,
,,,"$800-$999 ($41,600-$51,999)",64,
,,,"$1,000-$1,249 ($52,000-$64,999)",183,
,,,"$1,250-$1,499 ($65,000-$77,999)",249,
,,,"$1,500-$1,749 ($78,000-$90,999)",248,
,,,"$1,750-$1,999 ($91,000-$103,999)",182,
,,,"$2,000-$2,999 ($104,000-$155,999)",141,
,,,"$3,000 or more ($156,000 or more)",7,
,,"20-29 years","$400-$499 ($20,800-$25,999)",4,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",38,
,,,"$800-$999 ($41,600-$51,999)",143,
,,,"$1,000-$1,249 ($52,000-$64,999)",402,
,,,"$1,250-$1,499 ($65,000-$77,999)",287,
,,,"$1,500-$1,749 ($78,000-$90,999)",231,
,,,"$1,750-$1,999 ($91,000-$103,999)",85,
,,,"$2,000-$2,999 ($104,000-$155,999)",45,
,,,"$3,000 or more ($156,000 or more)",0,
,"Nurse Educators and Researchers","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",9,
,,,"$650-$799 ($33,800-$41,599)",9,
,,,"$800-$999 ($41,600-$51,999)",23,
,,,"$1,000-$1,249 ($52,000-$64,999)",84,
,,,"$1,250-$1,499 ($65,000-$77,999)",141,
,,,"$1,500-$1,749 ($78,000-$90,999)",291,
,,,"$1,750-$1,999 ($91,000-$103,999)",216,
,,,"$2,000-$2,999 ($104,000-$155,999)",189,
,,,"$3,000 or more ($156,000 or more)",5,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",4,
,,,"$650-$799 ($33,800-$41,599)",5,
,,,"$800-$999 ($41,600-$51,999)",17,
,,,"$1,000-$1,249 ($52,000-$64,999)",60,
,,,"$1,250-$1,499 ($65,000-$77,999)",125,
,,,"$1,500-$1,749 ($78,000-$90,999)",263,
,,,"$1,750-$1,999 ($91,000-$103,999)",225,
,,,"$2,000-$2,999 ($104,000-$155,999)",204,
,,,"$3,000 or more ($156,000 or more)",10,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",6,
,,,"$800-$999 ($41,600-$51,999)",20,
,,,"$1,000-$1,249 ($52,000-$64,999)",50,
,,,"$1,250-$1,499 ($65,000-$77,999)",82,
,,,"$1,500-$1,749 ($78,000-$90,999)",199,
,,,"$1,750-$1,999 ($91,000-$103,999)",139,
,,,"$2,000-$2,999 ($104,000-$155,999)",118,
,,,"$3,000 or more ($156,000 or more)",5,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",5,
,,,"$800-$999 ($41,600-$51,999)",4,
,,,"$1,000-$1,249 ($52,000-$64,999)",27,
,,,"$1,250-$1,499 ($65,000-$77,999)",45,
,,,"$1,500-$1,749 ($78,000-$90,999)",73,
,,,"$1,750-$1,999 ($91,000-$103,999)",37,
,,,"$2,000-$2,999 ($104,000-$155,999)",19,
,,,"$3,000 or more ($156,000 or more)",0,
,"Nurse Managers","50-59 years","$400-$499 ($20,800-$25,999)",6,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",16,
,,,"$800-$999 ($41,600-$51,999)",59,
,,,"$1,000-$1,249 ($52,000-$64,999)",171,
,,,"$1,250-$1,499 ($65,000-$77,999)",313,
,,,"$1,500-$1,749 ($78,000-$90,999)",716,
,,,"$1,750-$1,999 ($91,000-$103,999)",1059,
,,,"$2,000-$2,999 ($104,000-$155,999)",1544,
,,,"$3,000 or more ($156,000 or more)",77,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",7,
,,,"$650-$799 ($33,800-$41,599)",10,
,,,"$800-$999 ($41,600-$51,999)",51,
,,,"$1,000-$1,249 ($52,000-$64,999)",136,
,,,"$1,250-$1,499 ($65,000-$77,999)",277,
,,,"$1,500-$1,749 ($78,000-$90,999)",700,
,,,"$1,750-$1,999 ($91,000-$103,999)",919,
,,,"$2,000-$2,999 ($104,000-$155,999)",1328,
,,,"$3,000 or more ($156,000 or more)",68,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",10,
,,,"$800-$999 ($41,600-$51,999)",38,
,,,"$1,000-$1,249 ($52,000-$64,999)",108,
,,,"$1,250-$1,499 ($65,000-$77,999)",247,
,,,"$1,500-$1,749 ($78,000-$90,999)",468,
,,,"$1,750-$1,999 ($91,000-$103,999)",494,
,,,"$2,000-$2,999 ($104,000-$155,999)",633,
,,,"$3,000 or more ($156,000 or more)",27,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",3,
,,,"$650-$799 ($33,800-$41,599)",14,
,,,"$800-$999 ($41,600-$51,999)",42,
,,,"$1,000-$1,249 ($52,000-$64,999)",98,
,,,"$1,250-$1,499 ($65,000-$77,999)",126,
,,,"$1,500-$1,749 ($78,000-$90,999)",181,
,,,"$1,750-$1,999 ($91,000-$103,999)",113,
,,,"$2,000-$2,999 ($104,000-$155,999)",97,
,,,"$3,000 or more ($156,000 or more)",3,
,"Registered Nurses","50-59 years","$400-$499 ($20,800-$25,999)",78,
,,,"$500-$649 ($26,000-$33,799)",444,
,,,"$650-$799 ($33,800-$41,599)",948,
,,,"$800-$999 ($41,600-$51,999)",1672,
,,,"$1,000-$1,249 ($52,000-$64,999)",3174,
,,,"$1,250-$1,499 ($65,000-$77,999)",3914,
,,,"$1,500-$1,749 ($78,000-$90,999)",5607,
,,,"$1,750-$1,999 ($91,000-$103,999)",3631,
,,,"$2,000-$2,999 ($104,000-$155,999)",2858,
,,,"$3,000 or more ($156,000 or more)",247,
,,"40-49 years","$400-$499 ($20,800-$25,999)",79,
,,,"$500-$649 ($26,000-$33,799)",342,
,,,"$650-$799 ($33,800-$41,599)",761,
,,,"$800-$999 ($41,600-$51,999)",1564,
,,,"$1,000-$1,249 ($52,000-$64,999)",3226,
,,,"$1,250-$1,499 ($65,000-$77,999)",4449,
,,,"$1,500-$1,749 ($78,000-$90,999)",6212,
,,,"$1,750-$1,999 ($91,000-$103,999)",3812,
,,,"$2,000-$2,999 ($104,000-$155,999)",3035,
,,,"$3,000 or more ($156,000 or more)",255,
,,"30-39 years","$400-$499 ($20,800-$25,999)",61,
,,,"$500-$649 ($26,000-$33,799)",207,
,,,"$650-$799 ($33,800-$41,599)",560,
,,,"$800-$999 ($41,600-$51,999)",1416,
,,,"$1,000-$1,249 ($52,000-$64,999)",3949,
,,,"$1,250-$1,499 ($65,000-$77,999)",5056,
,,,"$1,500-$1,749 ($78,000-$90,999)",5865,
,,,"$1,750-$1,999 ($91,000-$103,999)",3021,
,,,"$2,000-$2,999 ($104,000-$155,999)",2066,
,,,"$3,000 or more ($156,000 or more)",138,
,,"20-29 years","$400-$499 ($20,800-$25,999)",76,
,,,"$500-$649 ($26,000-$33,799)",279,
,,,"$650-$799 ($33,800-$41,599)",929,
,,,"$800-$999 ($41,600-$51,999)",2859,
,,,"$1,000-$1,249 ($52,000-$64,999)",7147,
,,,"$1,250-$1,499 ($65,000-$77,999)",5545,
,,,"$1,500-$1,749 ($78,000-$90,999)",3302,
,,,"$1,750-$1,999 ($91,000-$103,999)",1238,
,,,"$2,000-$2,999 ($104,000-$155,999)",662,
,,,"$3,000 or more ($156,000 or more)",43,
,"ICT Professionals, nfd","50-59 years","$400-$499 ($20,800-$25,999)",11,
,,,"$500-$649 ($26,000-$33,799)",15,
,,,"$650-$799 ($33,800-$41,599)",32,
,,,"$800-$999 ($41,600-$51,999)",63,
,,,"$1,000-$1,249 ($52,000-$64,999)",134,
,,,"$1,250-$1,499 ($65,000-$77,999)",185,
,,,"$1,500-$1,749 ($78,000-$90,999)",297,
,,,"$1,750-$1,999 ($91,000-$103,999)",316,
,,,"$2,000-$2,999 ($104,000-$155,999)",892,
,,,"$3,000 or more ($156,000 or more)",603,
,,"40-49 years","$400-$499 ($20,800-$25,999)",17,
,,,"$500-$649 ($26,000-$33,799)",23,
,,,"$650-$799 ($33,800-$41,599)",41,
,,,"$800-$999 ($41,600-$51,999)",101,
,,,"$1,000-$1,249 ($52,000-$64,999)",257,
,,,"$1,250-$1,499 ($65,000-$77,999)",327,
,,,"$1,500-$1,749 ($78,000-$90,999)",540,
,,,"$1,750-$1,999 ($91,000-$103,999)",627,
,,,"$2,000-$2,999 ($104,000-$155,999)",1674,
,,,"$3,000 or more ($156,000 or more)",1201,
,,"30-39 years","$400-$499 ($20,800-$25,999)",15,
,,,"$500-$649 ($26,000-$33,799)",36,
,,,"$650-$799 ($33,800-$41,599)",68,
,,,"$800-$999 ($41,600-$51,999)",246,
,,,"$1,000-$1,249 ($52,000-$64,999)",466,
,,,"$1,250-$1,499 ($65,000-$77,999)",644,
,,,"$1,500-$1,749 ($78,000-$90,999)",942,
,,,"$1,750-$1,999 ($91,000-$103,999)",869,
,,,"$2,000-$2,999 ($104,000-$155,999)",2027,
,,,"$3,000 or more ($156,000 or more)",755,
,,"20-29 years","$400-$499 ($20,800-$25,999)",10,
,,,"$500-$649 ($26,000-$33,799)",40,
,,,"$650-$799 ($33,800-$41,599)",95,
,,,"$800-$999 ($41,600-$51,999)",255,
,,,"$1,000-$1,249 ($52,000-$64,999)",495,
,,,"$1,250-$1,499 ($65,000-$77,999)",409,
,,,"$1,500-$1,749 ($78,000-$90,999)",326,
,,,"$1,750-$1,999 ($91,000-$103,999)",155,
,,,"$2,000-$2,999 ($104,000-$155,999)",188,
,,,"$3,000 or more ($156,000 or more)",38,
,"Business and Systems Analysts, and Programmers, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",7,
,,,"$1,250-$1,499 ($65,000-$77,999)",5,
,,,"$1,500-$1,749 ($78,000-$90,999)",14,
,,,"$1,750-$1,999 ($91,000-$103,999)",3,
,,,"$2,000-$2,999 ($104,000-$155,999)",51,
,,,"$3,000 or more ($156,000 or more)",32,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",8,
,,,"$1,250-$1,499 ($65,000-$77,999)",17,
,,,"$1,500-$1,749 ($78,000-$90,999)",27,
,,,"$1,750-$1,999 ($91,000-$103,999)",27,
,,,"$2,000-$2,999 ($104,000-$155,999)",106,
,,,"$3,000 or more ($156,000 or more)",59,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",3,
,,,"$650-$799 ($33,800-$41,599)",7,
,,,"$800-$999 ($41,600-$51,999)",12,
,,,"$1,000-$1,249 ($52,000-$64,999)",22,
,,,"$1,250-$1,499 ($65,000-$77,999)",32,
,,,"$1,500-$1,749 ($78,000-$90,999)",50,
,,,"$1,750-$1,999 ($91,000-$103,999)",56,
,,,"$2,000-$2,999 ($104,000-$155,999)",117,
,,,"$3,000 or more ($156,000 or more)",38,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",3,
,,,"$650-$799 ($33,800-$41,599)",5,
,,,"$800-$999 ($41,600-$51,999)",6,
,,,"$1,000-$1,249 ($52,000-$64,999)",28,
,,,"$1,250-$1,499 ($65,000-$77,999)",20,
,,,"$1,500-$1,749 ($78,000-$90,999)",13,
,,,"$1,750-$1,999 ($91,000-$103,999)",15,
,,,"$2,000-$2,999 ($104,000-$155,999)",5,
,,,"$3,000 or more ($156,000 or more)",3,
,"ICT Business and Systems Analysts","50-59 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",3,
,,,"$650-$799 ($33,800-$41,599)",12,
,,,"$800-$999 ($41,600-$51,999)",33,
,,,"$1,000-$1,249 ($52,000-$64,999)",84,
,,,"$1,250-$1,499 ($65,000-$77,999)",176,
,,,"$1,500-$1,749 ($78,000-$90,999)",372,
,,,"$1,750-$1,999 ($91,000-$103,999)",516,
,,,"$2,000-$2,999 ($104,000-$155,999)",1555,
,,,"$3,000 or more ($156,000 or more)",932,
,,"40-49 years","$400-$499 ($20,800-$25,999)",6,
,,,"$500-$649 ($26,000-$33,799)",10,
,,,"$650-$799 ($33,800-$41,599)",16,
,,,"$800-$999 ($41,600-$51,999)",69,
,,,"$1,000-$1,249 ($52,000-$64,999)",152,
,,,"$1,250-$1,499 ($65,000-$77,999)",288,
,,,"$1,500-$1,749 ($78,000-$90,999)",739,
,,,"$1,750-$1,999 ($91,000-$103,999)",836,
,,,"$2,000-$2,999 ($104,000-$155,999)",2645,
,,,"$3,000 or more ($156,000 or more)",1600,
,,"30-39 years","$400-$499 ($20,800-$25,999)",8,
,,,"$500-$649 ($26,000-$33,799)",15,
,,,"$650-$799 ($33,800-$41,599)",39,
,,,"$800-$999 ($41,600-$51,999)",112,
,,,"$1,000-$1,249 ($52,000-$64,999)",402,
,,,"$1,250-$1,499 ($65,000-$77,999)",740,
,,,"$1,500-$1,749 ($78,000-$90,999)",1286,
,,,"$1,750-$1,999 ($91,000-$103,999)",1294,
,,,"$2,000-$2,999 ($104,000-$155,999)",2703,
,,,"$3,000 or more ($156,000 or more)",920,
,,"20-29 years","$400-$499 ($20,800-$25,999)",5,
,,,"$500-$649 ($26,000-$33,799)",14,
,,,"$650-$799 ($33,800-$41,599)",47,
,,,"$800-$999 ($41,600-$51,999)",180,
,,,"$1,000-$1,249 ($52,000-$64,999)",429,
,,,"$1,250-$1,499 ($65,000-$77,999)",475,
,,,"$1,500-$1,749 ($78,000-$90,999)",388,
,,,"$1,750-$1,999 ($91,000-$103,999)",210,
,,,"$2,000-$2,999 ($104,000-$155,999)",232,
,,,"$3,000 or more ($156,000 or more)",53,
,"Multimedia Specialists and Web Developers","50-59 years","$400-$499 ($20,800-$25,999)",14,
,,,"$500-$649 ($26,000-$33,799)",16,
,,,"$650-$799 ($33,800-$41,599)",22,
,,,"$800-$999 ($41,600-$51,999)",31,
,,,"$1,000-$1,249 ($52,000-$64,999)",55,
,,,"$1,250-$1,499 ($65,000-$77,999)",43,
,,,"$1,500-$1,749 ($78,000-$90,999)",40,
,,,"$1,750-$1,999 ($91,000-$103,999)",44,
,,,"$2,000-$2,999 ($104,000-$155,999)",54,
,,,"$3,000 or more ($156,000 or more)",16,
,,"40-49 years","$400-$499 ($20,800-$25,999)",13,
,,,"$500-$649 ($26,000-$33,799)",35,
,,,"$650-$799 ($33,800-$41,599)",49,
,,,"$800-$999 ($41,600-$51,999)",63,
,,,"$1,000-$1,249 ($52,000-$64,999)",126,
,,,"$1,250-$1,499 ($65,000-$77,999)",182,
,,,"$1,500-$1,749 ($78,000-$90,999)",196,
,,,"$1,750-$1,999 ($91,000-$103,999)",176,
,,,"$2,000-$2,999 ($104,000-$155,999)",232,
,,,"$3,000 or more ($156,000 or more)",60,
,,"30-39 years","$400-$499 ($20,800-$25,999)",20,
,,,"$500-$649 ($26,000-$33,799)",33,
,,,"$650-$799 ($33,800-$41,599)",94,
,,,"$800-$999 ($41,600-$51,999)",246,
,,,"$1,000-$1,249 ($52,000-$64,999)",466,
,,,"$1,250-$1,499 ($65,000-$77,999)",641,
,,,"$1,500-$1,749 ($78,000-$90,999)",660,
,,,"$1,750-$1,999 ($91,000-$103,999)",446,
,,,"$2,000-$2,999 ($104,000-$155,999)",600,
,,,"$3,000 or more ($156,000 or more)",86,
,,"20-29 years","$400-$499 ($20,800-$25,999)",27,
,,,"$500-$649 ($26,000-$33,799)",64,
,,,"$650-$799 ($33,800-$41,599)",186,
,,,"$800-$999 ($41,600-$51,999)",401,
,,,"$1,000-$1,249 ($52,000-$64,999)",496,
,,,"$1,250-$1,499 ($65,000-$77,999)",408,
,,,"$1,500-$1,749 ($78,000-$90,999)",272,
,,,"$1,750-$1,999 ($91,000-$103,999)",141,
,,,"$2,000-$2,999 ($104,000-$155,999)",90,
,,,"$3,000 or more ($156,000 or more)",15,
,"Software and Applications Programmers","50-59 years","$400-$499 ($20,800-$25,999)",28,
,,,"$500-$649 ($26,000-$33,799)",46,
,,,"$650-$799 ($33,800-$41,599)",75,
,,,"$800-$999 ($41,600-$51,999)",126,
,,,"$1,000-$1,249 ($52,000-$64,999)",328,
,,,"$1,250-$1,499 ($65,000-$77,999)",567,
,,,"$1,500-$1,749 ($78,000-$90,999)",1140,
,,,"$1,750-$1,999 ($91,000-$103,999)",1335,
,,,"$2,000-$2,999 ($104,000-$155,999)",3325,
,,,"$3,000 or more ($156,000 or more)",1314,
,,"40-49 years","$400-$499 ($20,800-$25,999)",29,
,,,"$500-$649 ($26,000-$33,799)",61,
,,,"$650-$799 ($33,800-$41,599)",120,
,,,"$800-$999 ($41,600-$51,999)",236,
,,,"$1,000-$1,249 ($52,000-$64,999)",625,
,,,"$1,250-$1,499 ($65,000-$77,999)",1073,
,,,"$1,500-$1,749 ($78,000-$90,999)",2301,
,,,"$1,750-$1,999 ($91,000-$103,999)",2646,
,,,"$2,000-$2,999 ($104,000-$155,999)",6775,
,,,"$3,000 or more ($156,000 or more)",2791,
,,"30-39 years","$400-$499 ($20,800-$25,999)",51,
,,,"$500-$649 ($26,000-$33,799)",88,
,,,"$650-$799 ($33,800-$41,599)",185,
,,,"$800-$999 ($41,600-$51,999)",596,
,,,"$1,000-$1,249 ($52,000-$64,999)",1879,
,,,"$1,250-$1,499 ($65,000-$77,999)",3446,
,,,"$1,500-$1,749 ($78,000-$90,999)",5789,
,,,"$1,750-$1,999 ($91,000-$103,999)",5514,
,,,"$2,000-$2,999 ($104,000-$155,999)",10244,
,,,"$3,000 or more ($156,000 or more)",2685,
,,"20-29 years","$400-$499 ($20,800-$25,999)",54,
,,,"$500-$649 ($26,000-$33,799)",124,
,,,"$650-$799 ($33,800-$41,599)",361,
,,,"$800-$999 ($41,600-$51,999)",1085,
,,,"$1,000-$1,249 ($52,000-$64,999)",2499,
,,,"$1,250-$1,499 ($65,000-$77,999)",2784,
,,,"$1,500-$1,749 ($78,000-$90,999)",1976,
,,,"$1,750-$1,999 ($91,000-$103,999)",932,
,,,"$2,000-$2,999 ($104,000-$155,999)",1090,
,,,"$3,000 or more ($156,000 or more)",228,
,"Database and Systems Administrators, and ICT Security Specialists","50-59 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",17,
,,,"$650-$799 ($33,800-$41,599)",36,
,,,"$800-$999 ($41,600-$51,999)",65,
,,,"$1,000-$1,249 ($52,000-$64,999)",219,
,,,"$1,250-$1,499 ($65,000-$77,999)",379,
,,,"$1,500-$1,749 ($78,000-$90,999)",604,
,,,"$1,750-$1,999 ($91,000-$103,999)",544,
,,,"$2,000-$2,999 ($104,000-$155,999)",1154,
,,,"$3,000 or more ($156,000 or more)",414,
,,"40-49 years","$400-$499 ($20,800-$25,999)",9,
,,,"$500-$649 ($26,000-$33,799)",14,
,,,"$650-$799 ($33,800-$41,599)",52,
,,,"$800-$999 ($41,600-$51,999)",136,
,,,"$1,000-$1,249 ($52,000-$64,999)",405,
,,,"$1,250-$1,499 ($65,000-$77,999)",619,
,,,"$1,500-$1,749 ($78,000-$90,999)",1007,
,,,"$1,750-$1,999 ($91,000-$103,999)",1027,
,,,"$2,000-$2,999 ($104,000-$155,999)",1912,
,,,"$3,000 or more ($156,000 or more)",685,
,,"30-39 years","$400-$499 ($20,800-$25,999)",3,
,,,"$500-$649 ($26,000-$33,799)",13,
,,,"$650-$799 ($33,800-$41,599)",90,
,,,"$800-$999 ($41,600-$51,999)",316,
,,,"$1,000-$1,249 ($52,000-$64,999)",832,
,,,"$1,250-$1,499 ($65,000-$77,999)",1245,
,,,"$1,500-$1,749 ($78,000-$90,999)",1592,
,,,"$1,750-$1,999 ($91,000-$103,999)",1152,
,,,"$2,000-$2,999 ($104,000-$155,999)",1741,
,,,"$3,000 or more ($156,000 or more)",417,
,,"20-29 years","$400-$499 ($20,800-$25,999)",14,
,,,"$500-$649 ($26,000-$33,799)",45,
,,,"$650-$799 ($33,800-$41,599)",131,
,,,"$800-$999 ($41,600-$51,999)",351,
,,,"$1,000-$1,249 ($52,000-$64,999)",697,
,,,"$1,250-$1,499 ($65,000-$77,999)",591,
,,,"$1,500-$1,749 ($78,000-$90,999)",400,
,,,"$1,750-$1,999 ($91,000-$103,999)",217,
,,,"$2,000-$2,999 ($104,000-$155,999)",190,
,,,"$3,000 or more ($156,000 or more)",31,
,"ICT Network and Support Professionals, nfd","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",3,
,,,"$1,000-$1,249 ($52,000-$64,999)",4,
,,,"$1,250-$1,499 ($65,000-$77,999)",3,
,,,"$1,500-$1,749 ($78,000-$90,999)",19,
,,,"$1,750-$1,999 ($91,000-$103,999)",10,
,,,"$2,000-$2,999 ($104,000-$155,999)",31,
,,,"$3,000 or more ($156,000 or more)",24,
,,"40-49 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",0,
,,,"$1,000-$1,249 ($52,000-$64,999)",9,
,,,"$1,250-$1,499 ($65,000-$77,999)",16,
,,,"$1,500-$1,749 ($78,000-$90,999)",24,
,,,"$1,750-$1,999 ($91,000-$103,999)",34,
,,,"$2,000-$2,999 ($104,000-$155,999)",67,
,,,"$3,000 or more ($156,000 or more)",24,
,,"30-39 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",12,
,,,"$1,000-$1,249 ($52,000-$64,999)",34,
,,,"$1,250-$1,499 ($65,000-$77,999)",38,
,,,"$1,500-$1,749 ($78,000-$90,999)",42,
,,,"$1,750-$1,999 ($91,000-$103,999)",46,
,,,"$2,000-$2,999 ($104,000-$155,999)",62,
,,,"$3,000 or more ($156,000 or more)",20,
,,"20-29 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",0,
,,,"$650-$799 ($33,800-$41,599)",0,
,,,"$800-$999 ($41,600-$51,999)",22,
,,,"$1,000-$1,249 ($52,000-$64,999)",30,
,,,"$1,250-$1,499 ($65,000-$77,999)",24,
,,,"$1,500-$1,749 ($78,000-$90,999)",20,
,,,"$1,750-$1,999 ($91,000-$103,999)",12,
,,,"$2,000-$2,999 ($104,000-$155,999)",11,
,,,"$3,000 or more ($156,000 or more)",0,
,"Computer Network Professionals","50-59 years","$400-$499 ($20,800-$25,999)",0,
,,,"$500-$649 ($26,000-$33,799)",16,
,,,"$650-$799 ($33,800-$41,599)",22,
,,,"$800-$999 ($41,600-$51,999)",71,
,,,"$1,000-$1,249 ($52,000-$64,999)",141,
,,,"$1,250-$1,499 ($65,000-$77,999)",211,
,,,"$1,500-$1,749 ($78,000-$90,999)",369,
,,,"$1,750-$1,999 ($91,000-$103,999)",367,
,,,"$2,000-$2,999 ($104,000-$155,999)",875,
,,,"$3,000 or more ($156,000 or more)",373,
,,"40-49 years","$400-$499 ($20,800-$25,999)",7,
,,,"$500-$649 ($26,000-$33,799)",27,
,,,"$650-$799 ($33,800-$41,599)",44,
,,,"$800-$999 ($41,600-$51,999)",120,
,,,"$1,000-$1,249 ($52,000-$64,999)",333,
,,,"$1,250-$1,499 ($65,000-$77,999)",517,
,,,"$1,500-$1,749 ($78,000-$90,999)",825,
,,,"$1,750-$1,999 ($91,000-$103,999)",863,
